State,!=,%,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,batapim,caractere,chimpanzini,delimitare,dunmadin,finitini,id,larila,lirili,porcoala,porcodio,sahur,saturnita,string,tralala,tralalero,tripi,tropa,tung,valor_inteiro,valor_real,||,$,ATRIBUICAO,BLOCO,BLOCO_DECISAO,BLOCO_REPETICAO,COMANDO,COMENTARIO,DECISAO,DECLARACAO,ENTRADA,EXPRESSAO,LACO_CONTADO,LACO_DE_REPETICAO,LISTA_DE_COMANDOS,OPERADOR,OPERADOR_ARITMETICO,OPERADOR_LOGICO,OPERADOR_RELACIONAL,PROGRAMA,SAIDA,TERMO,TIPO_DE_VARIAVEL,VALOR_BOOL
47,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,,,,,,,,,,,,,,,,,,,,,,
48,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,,,,,,,,,,,,,,,,,,,,,,
49,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,,,,,,,,,,,,,,,,,,,,,,
50,error,error,error,error,error,error,error,error,error,error,error,error,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,,,
51,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,
52,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,
53,error,error,error,error,error,error,error,error,error,error,error,error,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,,,,,,,,,,,,,,,,,,,,,,
54,error,error,error,error,error,error,error,error,error,error,error,error,s24,error,error,error,s2,s6,s19,error,s22,error,s14,error,s11,s12,s32,error,s15,s18,s27,s29,s17,s5,s9,s1,s31,error,error,30,,,,10,3,4,16,7,,28,8,74,,,,,,25,20,13,21
55,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,
56,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,
57,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,
58,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s6,error,error,error,error,s14,error,error,error,error,error,error,s18,error,error,s17,s5,error,s1,s31,error,error,,,,,,,,,,,,,,,,,,,,75,,21
59,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,,,,,,,,,,,,,,,,,,,,,,
60,error,error,error,error,error,error,error,error,error,error,error,error,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,
61,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,,,,,,,,,,,,,,,,,,,,,,
62,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,
63,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,
64,error,error,error,error,error,error,error,error,error,error,error,error,s24,error,error,error,s2,s6,s19,error,s22,error,s14,error,s11,s12,s32,error,s15,s18,s27,s29,s17,s5,s9,s1,s31,error,error,30,,,,10,3,4,16,7,,28,8,76,,,,,,25,20,13,21
65,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,,,,,,,,,,,,,,,,,,,,,,
66,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,,,,,,,,,,,,,,,,,,,,,,
67,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,
68,error,error,error,error,error,error,error,error,error,error,error,error,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,s77,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,,,,,,,,,,,,,,,,,,,,,,
69,error,error,error,error,error,error,error,error,error,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,,,,,,,,,,,,,,,,,,,,,,
