State,!=,%,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,batapim,caractere,chimpanzini,delimitare,dunmadin,finitini,id,larila,lirili,porcoala,porcodio,sahur,saturnita,string,tralala,tralalero,tripi,tropa,tung,valor_inteiro,valor_real,||,$,ATRIBUICAO,BLOCO,BLOCO_DECISAO,BLOCO_REPETICAO,COMANDO,COMENTARIO,DECISAO,DECLARACAO,ENTRADA,EXPRESSAO,LACO_CONTADO,LACO_DE_REPETICAO,LISTA_DE_COMANDOS,OPERADOR,OPERADOR_ARITMETICO,OPERADOR_LOGICO,OPERADOR_RELACIONAL,PROGRAMA,SAIDA,TERMO,TIPO_DE_VARIAVEL,VALOR_BOOL
24,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,
25,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s22,error,error,error,error,s21,error,error,error,error,error,error,s29,error,error,s6,s31,error,s3,s32,error,error,,,,,,,,,,41,,,,,,,,,,34,,24
26,error,error,error,error,error,error,error,error,error,error,error,error,s42,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,,,,,,,,,,,,,,,,,,,,,,
27,error,error,error,error,error,error,error,error,error,error,error,error,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,,,,,,,,,,,,,,,,,,,,,,
28,error,error,error,error,error,error,error,error,error,error,error,error,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,,,,,,,,,,,,,,,,,,,,,,
29,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,,,,,,,,,,,,,,,,,,,,,,
30,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s22,error,error,error,error,s21,error,error,error,error,error,error,s29,error,error,s6,s31,error,s3,s32,error,error,,,,,,,,,,44,,,,,,,,,,43,,24
31,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,,,,,,,,,,,,,,,,,,,,,,
32,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,,,,,,,,,,,,,,,,,,,,,,
33,error,error,error,error,error,error,error,error,error,s45,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,,,,,,,,,,,,,,,,,,,,,,
34,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,
35,s47,s65,s60,error,error,s55,s52,s61,s48,error,s56,s59,error,s58,s51,s63,error,error,error,s64,error,error,error,error,error,error,error,s62,error,error,error,error,error,error,error,error,error,s66,error,,54,49,46,,,,,,,,,,67,53,57,50,,,,,
36,error,error,error,error,error,error,error,error,error,error,error,error,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,
37,s47,s65,s60,error,error,s55,s52,s61,s48,error,s56,s59,error,s58,s51,s63,error,error,error,s64,error,error,error,error,error,error,error,s62,error,error,error,error,error,error,error,error,error,s66,error,,68,49,46,,,,,,,,,,67,53,57,50,,,,,
38,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s11,s15,error,error,error,s7,s17,error,error,error,error,error,error,error,,,,,,,,69,,,,,,,,,,,,,20,
39,error,error,error,error,error,error,error,error,error,s71,error,error,s30,error,error,error,error,s22,error,error,error,error,s21,error,error,error,error,error,error,s29,error,error,s6,s31,error,s3,s32,error,error,70,,,,,,,,,,,,,,,,,,,26,,24
40,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,,,,,,,,,,,,,,,,,,,,,,
41,s47,s65,s60,error,error,s55,s52,s61,s48,s72,s56,s59,error,s58,s51,s63,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s66,error,,,,,,,,,,,,,,67,53,57,50,,,,,
42,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s22,error,error,error,error,s21,error,error,error,error,error,error,s29,error,error,s6,s31,error,s3,s32,error,error,,,,,,,,,,73,,,,,,,,,,34,,24
43,r17,r17,r17,r17,r17,r17,r17,r17,r17,r13,r17,r17,r13,r17,r17,r17,r13,r13,r13,r17,r13,r13,r13,r17,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r17,r13,,,,,,,,,,,,,,,,,,,,,,
44,s47,s65,s60,error,error,s55,s52,s61,s48,r14,s56,s59,r14,s58,s51,s63,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,s66,r14,,,,,,,,,,,,,,67,53,57,50,,,,,
45,error,error,error,error,error,error,error,error,error,error,error,error,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,
